NCM,DESCRICAO,ALIçQUOTA(%),,,,
,"Ex 01 - Vestu°rio de segurana e proteo, mesmo com seus acess≥rios",0,,,,
,,,,,,
40.16,Outras obras de borracha vulcanizada no endurecida.,,,,,
4016.1, de borracha alveolar,,,,,
4016.10.10,"Partesdeve≠culosautom≥veisoutratoresedem°quinasouaparelhos,nodomsticos, dos Cap≠tulos 84, 85 ou 90","11,7",,,,
4016.10.90,Outras,"11,7",,,,
4016.9,- Outras:,,,,,
4016.91.00,Revestimentos para pisos (pavimentos) e tapetes,"6,5",,,,
,Ex 01 - Tapetes pr≥prios para ¥nibus ou caminhµes,"1,95",,,,
,"Ex 02 - Tapetes pr≥prios para ve≠culos autom≥veis, exceto ¥nibus ou caminhµes","9,75",,,,
4016.92.00,Borrachas de apagar,0,,,,
4016.93.00,"Juntas, gaxetas e semelhantes","5,2",,,,
4016.94.00,"Defensas, mesmo infl°veis, para atracao de embarcaµes","5,2",,,,
4016.95,Outros artigos infl°veis,,,,,
4016.95.10,De salvamento,"9,75",,,,
4016.95.90,Outros,"9,75",,,,
4016.99,Outras,,,,,
4016.99.10,"Tampµes vedadores para condensadores, de EPDM, com perfuraµes para terminais","11,7",,,,
4016.99.90,Outras,"11,7",,,,
,Ex 01 - Sapatas,0,,,,
,"Ex 02 - Partes dos produtos das posiµes 86.08, 87.10 e 87.13",0,,,,
,Ex 03 - Viras para calados,"3,25",,,,
,,,,,,
4017.00.00,"Borrachaendurecida(ebonite,porexemplo)sobqualquerforma,incluindoosdesperd≠cios e res≠duos; obras de borracha endurecida.","11,7",,,,
,"Ex 01 - Placas de borracha endurecida com encaixes de sobreposio, obtidas pelatriturao de sucata de pneum°ticos","2,6",,,,
,"Ex 02 - Estrado de borracha endurecida, obtido pela triturao de sucata de pneum°ticos","2,6",,,,
,"Ex 03 - Borracha endurecida sob quaisquer formas, inclu≠dos os desperd≠cios e res≠duos","9,75",,,,
41.01,"Couros e peles em bruto de bovinos (incluindo os bfalos) ou de equ≠deos (frescosou salgados, secos, tratados pela cal, piquelados ou conservados de outro modo,mas no curtidos, nem apergaminhados, nem preparados de outro modo), mesmodepilados ou divididos.",,,,,
4101.20.00,"- Couros e peles em bruto, inteiros, no divididos, de peso unit°rio no superior a 8 kgquando secos, a 10 kg quando salgados a seco e a 16 kg quando frescos, salgados amido ou conservados de outro modo",NT,,,,
4101.5,"- Couros e peles em bruto, inteiros, de peso unit°rio superior a 16 kg",,,,,
4101.50.10,Sem dividir,NT,,,,
4101.50.20,"Divididos, com o lado flor",NT,,,,
4101.50.30,"Divididos, sem o lado flor",NT,,,,
4101.9,"- Outros, incluindo dorsos (crepµes*), meios-dorsos (meios-crepµes*) e flancos (parteslaterais)",,,,,
4101.90.10,Sem dividir,NT,,,,
4101.90.20,"Divididos, com o lado flor",NT,,,,
4101.90.30,"Divididos, sem o lado flor",NT,,,,
,,,,,,
41.02,"Peles em bruto de ovinos (frescas ou salgadas, secas, tratadas pela cal, piqueladasouconservadasdeoutromodo,masnocurtidas,nemapergaminhadas,nempreparadasdeoutromodo),mesmodepiladasoudivididas,comexceodasexclu≠das pela Nota 1 c) do presente Cap≠tulo.",,,,,
4102.10.00, Com l (no depiladas),NT,,,,
4102.2,- Depiladas ou sem l:,,,,,
4102.21.00,Piqueladas,NT,,,,
4102.29.00,Outras,NT,,,,
,,,,,,
41.03,"Outros couros e peles em bruto (frescos ou salgados, secos, tratados pela cal,piquelados ou conservados de outro modo, mas no curtidos, nem apergaminhados,nem preparados de outro modo), mesmo depilados ou divididos, com exceo dosexclu≠dos pelas Notas 1 b) ou 1 c) do presente Cap≠tulo.",,,,,
4103.20.00, de Rpteis,NT,,,,
4103.30.00, de su≠nos,NT,,,,
4103.90.00, Outros,NT,,,,
,,,,,,
41.04,"Couros e peles curtidos ou crust, de bovinos (incluindo os bfalos) ou de equ≠deos,depilados, mesmo divididos, mas no preparados de outro modo.",,,,,
4104.1,- No estado mido (incluindo wet-blue):,,,,,
4104.11,"Plena flor, no divididos; divididos, com o lado flor",,,,,
4104.11.1,"Plena flor, no divididos",,,,,
4104.11.11,"Couros e peles inteiros, de bovinos (incluindo os bfalos), de superf≠cie unit°ria nosuperior a 2,6 m2, simplesmente curtidos ao cromo (wet-blue)",0,,,,
4104.11.12,"Outros couros e peles inteiros, de bovinos (incluindo os bfalos), de superf≠cie unit°riano superior a 2,6 m2",0,,,,
4104.11.13,"Outros couros e peles de bovinos (incluindo os bfalos), com pr-curtimenta vegetal",0,,,,
4104.11.14,Outros couros e peles de bovinos (incluindo os bfalos),0,,,,
4104.11.19,Outros,0,,,,
4104.11.2,"Divididos, com o lado flor",,,,,
4104.11.21,"Couros e peles inteiros, de bovinos (incluindo os bfalos), de superf≠cie unit°ria nosuperior a 2,6 m2, simplesmente curtidos ao cromo (wet-blue)",0,,,,
4104.11.22,"Outros couros e peles inteiros, de bovinos (incluindo os bfalos), de superf≠cie unit°riano superior a 2,6 m2",0,,,,
4104.11.23,"Outros couros e peles de bovinos (incluindo os bfalos), com pr-curtimenta vegetal",0,,,,
4104.11.24,Outros couros e peles de bovinos (incluindo os bfalos),0,,,,
4104.11.29,Outros,0,,,,
4104.19,Outros,,,,,
4104.19.10,"Couros e peles inteiros, de bovinos (incluindo os bfalos), de superf≠cie unit°ria nosuperior a 2,6 m2, simplesmente curtidos ao cromo (wet-blue)",0,,,,
4104.19.20,"Outros couros e peles inteiros, de bovinos (incluindo os bfalos), de superf≠cie unit°riano superior a 2,6 m2",0,,,,
4104.19.30,"Outros couros e peles de bovinos (incluindo os bfalos), com pr-curtimenta vegetal",0,,,,
4104.19.40,Outros couros e peles de bovinos (incluindo os bfalos),0,,,,
4104.19.90,Outros,0,,,,
4104.4,- No estado seco (crust):,,,,,
4104.41,"Plena flor, no divididos; divididos, com o lado flor",,,,,
4104.41.10,"Couros e peles inteiros, de bovinos (incluindo os bfalos), de superf≠cie unit°ria nosuperior a 2,6 m2",0,,,,
4104.41.20,"Outros couros e peles de bovinos (incluindo os bfalos), curtidos ao vegetal, para solas",0,,,,
4104.41.30,Outros couros e peles de bovinos (incluindo os bfalos),0,,,,
4104.41.90,Outros,0,,,,
4104.49,Outros,,,,,
4104.49.10,"Couros e peles inteiros, de bovinos (incluindo os bfalos), de superf≠cie unit°ria nosuperior a 2,6 m2",0,,,,
4104.49.20,Outros couros e peles de bovinos (incluindo os bfalos),0,,,,
4104.49.90,Outros,0,,,,
,,,,,,
41.05,"Peles curtidas ou crust de ovinos, depiladas, mesmo divididas, mas no preparadasde outro modo.",,,,,
4105.1,- No estado mido (incluindo wet-blue),,,,,
4105.10.10,Com pr-curtimenta vegetal,0,,,,
4105.10.2,Pr-curtidas de outro modo,,,,,
4105.10.21,Ao cromo (wet-blue),0,,,,
4105.10.29,Outras,0,,,,
4105.10.90,Outras,0,,,,
4105.30.00, no estado seco (crust),0,,,,
,,,,,,
41.06,"Couros e peles, depilados, de outros animais e peles de animais desprovidos depelos, curtidos ou crust, mesmo divididos, mas no preparados de outro modo.",,,,,
4106.2,- De caprinos:,,,,,
4106.21,No estado mido (incluindo wet-blue),,,,,
4106.21.10,Com pr-curtimenta vegetal,0,,,,
4106.21.2,Pr-curtidos de outro modo,,,,,
4106.21.21,Ao cromo (wet-blue),0,,,,
4106.21.29,Outros,0,,,,
4106.21.90,Outros,0,,,,
4106.22.00,no estado seco (crust),0,,,,
4106.3,- De su≠nos:,,,,,
4106.31,No estado mido (incluindo wet-blue),,,,,
4106.31.10,Simplesmente curtidos ao cromo (wet-blue),0,,,,
4106.31.90,Outros,0,,,,
4106.32.00,no estado seco (crust),0,,,,
4106.40.00, de Rpteis,0,,,,
4106.9,- Outros:,,,,,
4106.91.00,No estado mido (incluindo wet-blue),0,,,,
4106.92.00,no estado seco (crust),0,,,,
,,,,,,
41.07,"Couros preparados ap≥s curtimenta ou ap≥s secagem (crusting) e couros e pelesapergaminhados,debovinos(incluindoosbfalos)oudeequ≠deos,depilados,mesmo divididos, exceto os da posio 41.14.",,,,,
4107.1,- Couros e peles inteiros:,,,,,
4107.11,"Plena flor, no divididos",,,,,
4107.11.10,"Couros e peles de bovinos (incluindo os bfalos), de superf≠cie unit°ria no superior a2,6 m2",0,,,,
4107.11.20,Outros couros e peles de bovinos (incluindo os bfalos),0,,,,
4107.11.90,Outros,0,,,,
4107.12,"Divididos, Com o lado flor",,,,,
4107.12.10,"Couros e peles de bovinos (incluindo os bfalos), de superf≠cie unit°ria no superior a2,6 m2",0,,,,
4107.12.20,Outros couros e peles de bovinos (incluindo os bfalos),0,,,,
4107.12.90,Outros,0,,,,
4107.19,Outros,,,,,
4107.19.10,"Couros e peles de bovinos (incluindo os bfalos), de superf≠cie unit°ria no superior a2,6 m2",0,,,,
4107.19.20,Outros couros e peles de bovinos (incluindo os bfalos),0,,,,
4107.19.90,Outros,0,,,,
4107.9,"- Outros, incluindo as tiras:",,,,,
4107.91,"Plena flor, no divididos",,,,,
4107.91.10,De bovinos (incluindo os bfalos),0,,,,
4107.91.90,Outros,0,,,,
4107.92,"Divididos, Com o lado flor",,,,,
4107.92.10,De bovinos (incluindo os bfalos),0,,,,
4107.92.90,Outros,0,,,,
4107.99,Outros,,,,,
4107.99.10,De bovinos (incluindo os bfalos),0,,,,
4107.99.90,Outros,0,,,,
,,,,,,
4112.00.00,"Couros preparados ap≥s curtimenta ou ap≥s secagem (crusting) e couros e pelesapergaminhados, de ovinos, depilados, mesmo divididos, exceto os da posio41.14.",0,,,,
,,,,,,
41.13,"Couros preparados ap≥s curtimenta ou ap≥s secagem (crusting) e couros e pelesapergaminhados, de outros animais, depilados, e couros preparados ap≥s curtimentaecourosepelesapergaminhados,deanimaisdesprovidosdepelos,mesmodivididos, exceto os da posio 41.14.",,,,,
4113.1, de Caprinos,,,,,
4113.10.10,"Curtidos ao cromo, com acabamento",0,,,,
4113.10.90,Outros,0,,,,
4113.20.00, de su≠nos,0,,,,
4113.30.00, de Rpteis,0,,,,
4113.90.00, Outros,0,,,,
,,,,,,
41.14,"Couros e peles acamurados (incluindo a camura combinada); couros e pelesenvernizados ou revestidos; couros e peles metalizados.",,,,,
4114.10.00, couros e peles acamurados (incluindo a camura combinada),0,,,,
4114.2,- Couros e peles envernizados ou revestidos; couros e peles metalizados,,,,,
4114.20.10,Envernizados ou revestidos,0,,,,
4114.20.20,Metalizados,0,,,,
,,,,,,
41.15,"Couro reconstitu≠do, † base de couro ou de fibras de couro, em chapas, folhas outiras,mesmoenroladas;aparaseoutrosdesperd≠ciosdecourosoudepelespreparados ou de couro reconstitu≠do, no utiliz°veis para fabricao de obras decouro; serragem, p≥ e farinha, de couro.",,,,,
4115.10.00,"- Couro reconstitu≠do † base de couro ou de fibras de couro, em chapas, folhas ou tiras,mesmo enroladas",0,,,,
4115.20.00,"- Aparas e outros desperd≠cios de couros ou de peles preparados ou de couro reconstitu≠do,no utiliz°veis para fabricao de obras de couro; serragem, p≥ e farinha, de couro",0,,,,
4201,"Artigos de seleiro ou de correeiro, para quaisquer animais (incluindo as trelas,joelheiras,focinheiras,mantasdesela,alforjes,agasalhosparaceseartigossemelhantes), de quaisquer matrias.",,,,,
4201.00.10,De couro natural ou reconstitu≠do,0,,,,
4201.00.90,Outros,0,,,,
,,,,,,
42.02,"Bas (arcas) para viagem, malas e maletas, incluindo as maletas de toucador e asmaletasepastasdedocumentoseparaestudantes,osestojospara≥culos,bin≥culos, c¢meras fotogr°ficas e de filmar, instrumentos musicais, armas e artigossemelhantes; sacos de viagem, sacos isolantes para g™neros aliment≠cios e bebidas,bolsas de toucador, mochilas, bolsas, sacolas (sacos para compras), carteiras, porta-moedas, porta-cartµes, cigarreiras, tabaqueiras, estojos para ferramentas, bolsas esacos para artigos de esporte, estojos para frascos ou para joias, caixas para p≥ dearroz,estojosparaourivesariaeartigossemelhantes,decouronaturaloureconstitu≠do, de folhas de pl°stico, de matrias t™xteis, de fibra vulcanizada ou decarto, ou recobertos, no todo ou na maior parte, dessas mesmas matrias ou depapel.",,,,,
4202.1,"- Bas (arcas) para viagem, malas e maletas, incluindo as maletas de toucador e as maletase pastas de documentos e para estudantes, e artigos semelhantes:",,,,,
4202.11.00,Com a superf≠cie exterior de couro natural ou reconstitu≠do,"6,5",,,,
4202.12,Com a superf≠cie exterior de pl°stico ou de matrias t™xteis,,,,,
4202.12.10,De pl°stico,"6,5",,,,
4202.12.20,De matrias t™xteis,"6,5",,,,
4202.19.00,Outros,"6,5",,,,
4202.2,"- Bolsas, mesmo com tiracolo, incluindo as que no possuam alas (pegas):",,,,,
4202.21.00,Com a superf≠cie exterior de couro natural ou reconstitu≠do,"6,5",,,,
4202.22,Com a superf≠cie exterior de folhas de pl°stico ou de matrias t™xteis,,,,,
4202.22.10,De folhas de pl°stico,"6,5",,,,
4202.22.20,De matrias t™xteis,"6,5",,,,
4202.29.00,Outras,"6,5",,,,
4202.3,- Artigos do tipo normalmente levado nos bolsos ou em bolsas:,,,,,
4202.31.00,Com a superf≠cie exterior de couro natural ou reconstitu≠do,"6,5",,,,
4202.32.00,Com a superf≠cie exterior de folhas de pl°stico ou de matrias t™xteis,"6,5",,,,
4202.39.00,Outros,"6,5",,,,
4202.9,- Outros:,,,,,
4202.91.00,Com a superf≠cie exterior de couro natural ou reconstitu≠do,"6,5",,,,
4202.92.00,Com a superf≠cie exterior de folhas de pl°stico ou de matrias t™xteis,"6,5",,,,
4202.99.00,Outros,"6,5",,,,
,,,,,,
42.03,"Vestu°rio e seus acess≥rios, de couro natural ou reconstitu≠do.",,,,,
4203.10.00, Vestu°rio,"6,5",,,,
4203.2,"- Luvas, mitenes e semelhantes:",,,,,
4203.21.00,especialmente concebidas para a pr°tica de esportes,"6,5",,,,
4203.29.00,Outras,"6,5",,,,
,"Ex 01 - De proteo, para trabalho manual",0,,,,
4203.30.00," Cintos, cinturµes e bandoleiras ou talabartes","6,5",,,,
4203.40.00, Outros Acess≥rios de Vestu°rio,"6,5",,,,
,,,,,,
4205.00.00,Outras obras de couro natural ou reconstitu≠do.,"6,5",,,,
,,,,,,
4206.00.00,"Obras de tripa, de baudruches, de bexiga ou de tendµes.","6,5",,,,
,Ex 01 - Cordas de tripa,0,,,,
43.01,"Peles com pelo em bruto (incluindo as cabeas, caudas, patas e outras partesutiliz°veis na indstria de peles), exceto as peles em bruto das posiµes 41.01, 41.02ou 41.03.",,,,,
4301.10.00," de visons, inteiras, mesmo Com cabea, cauda ou patas",NT,,,,
4301.30.00,"- De cordeiros denominados astrac, breitschwanz, caracul, persianer ou semelhantes, decordeiros da çndia, da China, da Mong≥lia ou do Tibete, inteiras, mesmo com cabea,cauda ou patas",NT,,,,
4301.60.00," de raposas, inteiras, mesmo Com cabea, cauda ou patas",NT,,,,
4301.80.00," de Outros animais, inteiras, mesmo Com cabea, cauda ou patas",NT,,,,
4301.90.00," cabeas, caudas, patas e Outras partes utiliz°veis na indstria de peles",NT,,,,
,,,,,,
43.02,"Peles com pelo curtidas ou acabadas (incluindo as cabeas, caudas, patas e outraspartes, desperd≠cios e aparas), no reunidas (no montadas) ou reunidas (montadas)sem adio de outras matrias, com exceo das da posio 43.03.",,,,,
4302.1,"- Pelescompelointeiras,mesmocomcabea,caudaoupatas,noreunidas(nomontadas):",,,,,
4302.11.00,de visons,39,,,,
4302.19,Outras,,,,,
4302.19.10,De ovinos,"6,5",,,,
4302.19.90,Outras,"6,5",,,,
4302.20.00,"- Cabeas, caudas, patas e outras partes, desperd≠cios e aparas, no reunidos (nomontados)",39,,,,
,"Ex 01 - Cabeas, caudas, patas e outras partes, desperd≠cios e aparas, de coelho ou delebre","6,5",,,,
,"Ex 02 - Cabeas, caudas, patas e outras partes, desperd≠cios e aparas, de bovino, deovino ou de caprino","6,5",,,,
4302.30.00," peles Com pelo inteiras e respectivos pedaos e Aparas, reunidos (montados)",39,,,,
,"Ex 01 - De bovino, ovino, caprino, coelho ou de lebre","6,5",,,,
,"Ex 02 - Peles ""alongadas"", exceto de bovino, ovino, caprino, coelho ou de lebre",26,,,,
,,,,,,
43.03,"Vestu°rio, seus acess≥rios e outros artigos de peles com pelo.",,,,,
4303.10.00, Vestu°rio e seus Acess≥rios,26,,,,
,"Ex 01 - De bovino, ovino, caprino, coelho ou de lebre","6,5",,,,
4303.90.00, Outros,26,,,,
,"Ex 01 - De bovino, ovino, caprino, coelho ou de lebre","6,5",,,,
,,,,,,
4304.00.00,"Peles com pelo artificiais, e suas obras.","6,5",,,,
44.01,"Lenhaemqualquerforma;madeiraemestilhasouempart≠culas;serragem(serradura), desperd≠cios e res≠duos, de madeira, mesmo aglomerados em toras(toros), briquetes, pellets ou em formas semelhantes.",,,,,
4401.1,- Lenha em qualquer forma:,,,,,
4401.11.00,de con≠feras,NT,,,,
4401.12.00,De no con≠feras,NT,,,,
4401.2,- Madeira em estilhas ou em part≠culas:,,,,,
4401.21.00,de con≠feras,0,,,,
4401.22.00,De no con≠feras,0,,,,
4401.3,"- Serragem(serradura),desperd≠cioseres≠duos,demadeira,aglomeradosemtoras(toros), briquetes, pellets ou em formas semelhantes:",,,,,
4401.31.00,Pellets de Madeira,NT,,,,
4401.32.00,Briquetes de Madeira,NT,,,,
4401.39.00,Outros,NT,,,,
4401.4,"- Serragem (serradura), desperd≠cios e res≠duos, de madeira, no aglomerados:",,,,,
4401.41.00,Serragem (serradura),NT,,,,
4401.49.00,Outros,NT,,,,
,,,,,,
44.02,"Carvo vegetal (incluindo o carvo de cascas ou de caroos), mesmo aglomerado.",,,,,
4402.10.00, de bambu,NT,,,,
4402.20.00, de cascas ou de caroos,NT,,,,
4402.90.00, Outros,NT,,,,
,,,,,,
44.03,"Madeira em bruto, mesmo descascada, desalburnada ou esquadriada.",,,,,
4403.1,"- Tratada com tinta, creosoto ou outros agentes de conservao:",,,,,
4403.11.00,de con≠feras,NT,,,,
,Ex 01 - Esquadriada,0,,,,
4403.12.00,De no con≠feras,NT,,,,
,Ex 01 - Esquadriadas,0,,,,
4403.2,"- Outras, de con≠feras:",,,,,
4403.21.00,"De pinheiro (Pinus spp.), cuja menor dimenso da seo transversal  igual ou superiora 15 cm",NT,,,,
,Ex 01 - Esquadriada,0,,,,
4403.22.00,"de pinheiro (Pinus spp.), Outras",NT,,,,
,Ex 01 - Esquadriada,0,,,,
4403.23.00,"De abeto (Abies spp.) e de espruce (p≠cea) (Picea spp.), cuja menor dimenso da seotransversal  igual ou superior a 15 cm",NT,,,,
,Ex 01 - Esquadriada,0,,,,
4403.24.00,"de abeto (Abies spp.) e de espruce (p≠cea) (Picea spp.), Outras",NT,,,,
,Ex 01 - Esquadriada,0,,,,
4403.25.00,"Outras, cuja menor dimenso da seo transversal  igual ou superior a 15 cm",NT,,,,
,Ex 01 - Esquadriadas,0,,,,
4403.26.00,Outras,NT,,,,
,Ex 01 - Esquadriadas,0,,,,
4403.4,"- Outras, de madeiras tropicais:",,,,,
4403.41.00,"Dark Red Meranti, Light Red Meranti e Meranti Bakau",NT,,,,
,Ex 01 - Esquadriada,0,,,,
4403.42.00,Teca,NT,,,,
,Ex 01 - Esquadriada,0,,,,
4403.49.00,Outras,NT,,,,
,Ex 01 - Esquadriadas,0,,,,
4403.9,- Outras:,,,,,
4403.91.00,de carvalho (Quercus spp.),NT,,,,
,Ex 01 - Esquadriada,0,,,,
4403.93.00,"De faia (Fagus spp.), cuja menor dimenso da seo transversal  igual ou superior a15 cm",NT,,,,
,Ex 01 - Esquadriada,0,,,,
4403.94.00,"de faia (Fagus spp.), Outras",NT,,,,
,Ex 01 - Esquadriada,0,,,,
4403.95.00,"De btula (vidoeiro) (Betula spp.), cuja menor dimenso da seo transversal  igual ousuperior a 15 cm",NT,,,,
,Ex 01 - Esquadriada,0,,,,
4403.96.00,"De btula (vidoeiro) (Betula spp.), outras",NT,,,,
,Ex 01 - Esquadriada,0,,,,
4403.97.00,de choupo (°lamo) (Populus spp.),NT,,,,
,Ex 01 - Esquadriada,0,,,,
4403.98.00,de eucalipto (Eucalyptus spp.),NT,,,,
,Ex 01 - Esquadriada,0,,,,
4403.99.00,Outras,NT,,,,
,Ex 01 - Esquadriadas,0,,,,
,,,,,,
44.04,"Arcosdemadeira;estacasfendidas;estacasaguadas,noserradaslongitudinalmente;madeirasimplesmentedesbastadaouarredondada,notorneada, no recurvada nem trabalhada de qualquer outro modo, para fabricao debengalas,guarda-chuvas,cabosdeferramentasesemelhantes;madeiraemfasquias, l¢minas, fitas e semelhantes.",,,,,
4404.10.00, de con≠feras,0,,,,
4404.20.00, de no con≠feras,0,,,,
,,,,,,
4405.00.00,L de madeira; farinha de madeira.,NT,,,,
,,,,,,
44.06,Dormentes de madeira para vias frreas ou semelhantes.,,,,,
4406.1,- No impregnados:,,,,,
4406.11.00,de con≠feras,NT,,,,
4406.12.00,De no con≠feras,NT,,,,
4406.9,- Outros:,,,,,
4406.91.00,de con≠feras,NT,,,,
4406.92.00,De no con≠feras,NT,,,,
